param buszDb :=25;
set Szerelok := sz1 sz2;
param napDb :=15;

param ellenorzes :=
1 5
2 6
3 3
4 7
5 4
6 8
7 5
8 8
9 6
10 9
11 5
12 8
13 6
14 4
15 7
16 8
17 5
18 3
19 9
20 6
21 4
22 5
23 9
24 9
25 7
;

param kIdo : sz1 sz2 :=
1 3.1 3.2
2 3.0 3.3
3 3.0 3.2
4 2.6 3.1
5 3.0 3.2
6 3.1 3.3
7 2.7 3.0
8 3.1 3.3
9 3.2 3.3
10 2.9 3.1
11 3.2 3.4
12 3.0 3.2
13 2.4 2.3
14 3 2.8
15 3.1 2.9 
16 3.3 3.0
17 2.9 2.7
18 3.1 3.0
19 3.0 2.6
20 2.8 2.6
21 3.2 3.0
22 1.9 1.8
23 2.6 2.5
24 3.1 3.0
25 3.0 2.7
;

param : beosztas buszszukseglet:=
1 sz1 18
2 sz2 16
3 sz2 15
4 sz1 14
5 sz2 18
6 sz2 16
7 sz2 18
8 sz1 17
9 sz1 18
10 sz2 15
11 sz1 16
12 sz1 18
13 sz2 17
14 sz1 15
15 sz2 17/*
16 sz2 14
17 sz2 17
18 sz1 16
19 sz1 14
20 sz2 17
21 sz1 18
22 sz2 15
23 sz1 14
24 sz1 17
25 sz2 18
26 sz1 16
27 sz2 17
28 sz1 15
29 sz1 18
30 sz2 17*/
;

param munkaora :=8;

param oraber :=
sz1 800
sz2 850
;
